A§o,Mes,Nombre Servicio,Servicio en 67A,Cantidad,Senasa,Otros,Sin dato,RD,Haiti,Otros,Sin dato,Masculino,Femenino
2015,8,CITOSCOPIA ,Cistoscop°a,14,13,1,0,13,0,0,1,11,3
2015,8,COLPOSCOPIA CON BIOPSIA,Colposcop°a,12,9,2,0,11,0,0,1,0,12
2015,8,COMPRESION FOCAL UNILATERAL,Otros servicios de im†genes,2,1,1,0,1,0,0,1,0,2
2015,8,INMUNOHISTOQUIMICA TEJIDOS SOLIDOS,Otros servicios de im†genes,1,0,0,0,0,1,0,0,0,1
2015,8,MAMOGRAFIA BILATERAL,Mamograf°a,147,129,13,0,127,0,0,20,1,146
2015,8,MAMOGRAFIA UNILATERAL,Mamograf°a,1,1,0,0,1,0,0,0,0,1
2015,8,RX-ABDOMEN SIMPLE 2 POSICIONES,Radiograf°a,2,2,0,0,2,0,0,0,1,1
2015,8,RX-ABDOMEN SIMPLE AP,Radiograf°a,1,1,0,0,1,0,0,0,0,1
2015,8,RX-CRANEO AP Y LATERAL,Radiograf°a,1,1,0,0,1,0,0,0,0,1
2015,8,RX-HOMBRO AP,Radiograf°a,1,1,0,0,1,0,0,0,1,0
2015,8,RX-MANO (O AMBAS) 2 POSICIONES (AP Y OBLICUA),Radiograf°a,1,1,0,0,0,0,0,1,0,1
2015,8,RX-TORAX 2 POSICIONES (PA Y 1 OBLICUA / PA Y LATERAL),Radiograf°a,10,10,0,0,9,0,0,1,2,8
2015,8,RX-TORAX AP,Radiograf°a,14,14,0,0,13,0,0,1,5,9
2015,8,RX-TORAX PA,Radiograf°a,109,95,11,0,102,0,0,7,16,93
2015,8,SONOGRAFIA ABDOMINAL,Sonograf°a,74,69,4,0,66,0,1,7,17,57
2015,8,SONOGRAFIA DE AXILA,Sonograf°a,1,0,1,0,0,0,0,1,0,1
2015,8,SONOGRAFIA DE CUELLO,Sonograf°a,4,4,0,0,4,0,0,0,0,4
2015,8,SONOGRAFIA DE HOMBRO,Sonograf°a,1,0,1,0,0,0,0,1,0,1
2015,8,SONOGRAFIA DE MAMAS,Sonomamograf°a,153,125,14,0,132,1,1,19,2,151
2015,8,SONOGRAFIA DE TIROIDES,Sonograf°a,38,34,4,0,35,0,1,2,1,37
2015,8,SONOGRAFIA PELVICA,Sonograf°a,32,30,1,0,25,0,0,7,3,29
2015,8,SONOGRAFIA PROSTATICA,Sonograf°a,2,1,1,0,1,0,0,1,2,0
2015,8,SONOGRAFIA TRANSVAGINAL,Sonograf°a,42,36,5,0,37,1,0,4,0,42
2015,8,TOMOGRAFIA ABDOMEN,Tomograf°a,50,44,3,0,46,0,0,4,16,34
2015,8,TOMOGRAFIA ABDOMEN Y PELVIS,Tomograf°a,4,4,0,0,4,0,0,0,2,2
2015,8,TOMOGRAFIA COLUMNA LUMBAR,Tomograf°a,3,3,0,0,2,0,0,1,2,1
2015,8,TOMOGRAFIA CRANEO,Tomograf°a,24,24,0,0,22,0,0,2,6,18
2015,8,TOMOGRAFIA CUELLO (LARINGE O PARTES BLANDAS),Tomograf°a,9,8,0,0,8,1,0,0,2,7
2015,8,TOMOGRAFIA EXTREMIDADES INFERIORES,Tomograf°a,1,1,0,0,1,0,0,0,0,1
2015,8,TOMOGRAFIA PELVIS,Tomograf°a,14,12,1,0,14,0,0,0,3,11
2015,8,TOMOGRAFIA SENOS PARA NASALES,Tomograf°a,3,2,0,0,3,0,0,0,2,1
2015,8,TOMOGRAFIA TORAX,Tomograf°a,32,31,1,0,29,0,0,3,8,24
2015,8,TOMOGRAFIA TORAX Y ABDOMEN,Tomograf°a,1,1,0,0,1,0,0,0,0,1
2015,8,ULTRASONOGRAF?A DE PROSTATA TRANSRECTAL,Sonograf°a,1,1,0,0,1,0,0,0,1,0
2015,8,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES INFERIORES CON ,Sonograf°a,3,3,0,0,3,0,0,0,0,3
2015,8,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES SUPERIORES CON ,Sonograf°a,2,2,0,0,1,0,0,1,0,2
2015,8,"ULTRASONOGRAFIA DIAGNOSTICA DE MAMA, CON TRANSDUCTOR DE 7 MHZ O MAS",Sonograf°a,2,2,0,0,2,0,0,0,0,2
2015,8,"ULTRASONOGRAFIA DIAGNOSTICA DE TIROIDES, CON TRANSDUCTOR DE 7 MHZ O MA",Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,9,BIOPSIA POR TOMOGRAFIA ,Tomograf°a,3,1,0,0,3,0,0,0,3,0
2015,9,BIOPSIA SONODIRIGIDA CUELLO (GANGLIOS Y TIROIDES Y MASAS),Sonograf°a,1,1,0,0,1,0,0,0,1,0
2015,9,BIOPSIA SONODIRIGIDA DE MAMAS,Sonograf°a,4,4,0,0,3,0,0,1,0,4
2015,9,BIOPSIA SONODIRIGIDA DE MAMAS CON TRUCUT + AGUJA,Sonograf°a,10,9,1,0,10,0,0,0,1,9
2015,9,BIOPSIA SONODIRIGIDA DE PROSTATA,Sonograf°a,5,3,0,0,4,0,0,1,5,0
2015,9,BIOPSIA SONODIRIGIDA DE TIROIDES,Sonograf°a,16,10,2,0,15,0,0,1,0,16
2015,9,BIOPSIA TOMODIRIGIDA HEPATICA,Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,9,BIOPSIA-ASPIRADO MEDULA ?SEA,Otros servicios de im†genes,1,1,0,0,1,0,0,0,0,1
2015,9,CITOSCOPIA ,Cistoscop°a,7,5,1,0,7,0,0,0,6,1
2015,9,COLPOSCOPIA CON BIOPSIA,Colposcop°a,2,2,0,0,2,0,0,0,0,2
2015,9,COMPRESION FOCAL UNILATERAL,Otros servicios de im†genes,1,0,0,0,1,0,0,0,0,1
2015,9,INMUNOHISTOQUIMICA TEJIDOS SOLIDOS,Otros servicios de im†genes,1,0,1,0,1,0,0,0,0,1
2015,9,MAMOGRAFIA BILATERAL,Mamograf°a,155,138,12,0,129,1,0,25,1,154
2015,9,RX-TOBILLO 2 POSICIONES (AP Y LATERAL),Radiograf°a,2,1,1,0,2,0,0,0,1,1
2015,9,RX-TORAX 2 POSICIONES (PA Y 1 OBLICUA / PA Y LATERAL),Radiograf°a,6,4,2,0,5,0,0,1,2,4
2015,9,RX-TORAX AP,Radiograf°a,6,4,1,0,6,0,0,0,1,5
2015,9,RX-TORAX PA,Radiograf°a,131,122,8,0,120,1,2,8,26,105
2015,9,SONOGRAFIA ABDOMINAL,Sonograf°a,111,99,11,0,103,0,0,8,25,86
2015,9,SONOGRAFIA DE CUELLO,Sonograf°a,3,3,0,0,3,0,0,0,0,3
2015,9,SONOGRAFIA DE MAMAS,Sonomamograf°a,202,180,14,0,179,1,0,22,1,201
2015,9,SONOGRAFIA DE TIROIDES,Sonograf°a,42,37,4,0,39,0,0,3,2,40
2015,9,SONOGRAFIA PELVICA,Sonograf°a,18,15,2,0,16,1,0,1,0,18
2015,9,SONOGRAFIA PROSTATICA,Sonograf°a,4,4,0,0,3,0,0,1,4,0
2015,9,SONOGRAFIA TRANSVAGINAL,Sonograf°a,60,54,3,0,48,0,0,12,0,60
2015,9,TOMA DE MUESTRA PAPANICOLAOU,Cistoscop°a,6,4,1,0,6,0,0,0,0,6
2015,9,TOMOGRAFIA ABDOMEN,Tomograf°a,53,50,3,0,44,0,0,9,20,33
2015,9,TOMOGRAFIA ABDOMEN Y PELVIS,Tomograf°a,2,2,0,0,2,0,0,0,0,2
2015,9,TOMOGRAFIA COLUMNA CERVICAL,Tomograf°a,4,4,0,0,3,0,0,1,0,4
2015,9,TOMOGRAFIA COLUMNA LUMBAR,Tomograf°a,4,4,0,0,4,0,0,0,3,1
2015,9,TOMOGRAFIA CRANEO,Tomograf°a,23,21,1,0,18,0,0,5,6,17
2015,9,TOMOGRAFIA CUELLO (LARINGE O PARTES BLANDAS),Tomograf°a,6,6,0,0,6,0,0,0,4,2
2015,9,TOMOGRAFIA PELVIS,Tomograf°a,9,9,0,0,7,0,0,2,2,7
2015,9,TOMOGRAFIA SENOS PARA NASALES,Tomograf°a,1,1,0,0,0,0,0,1,0,1
2015,9,TOMOGRAFIA TORAX,Tomograf°a,16,14,0,0,14,0,0,2,7,9
2015,9,ULTRASONOGRAF?A DE PROSTATA TRANSRECTAL,Sonograf°a,1,1,0,0,1,0,0,0,1,0
2015,9,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES INFERIORES CON ,Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,9,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES SUPERIORES CON ,Sonograf°a,7,6,1,0,5,0,0,2,3,4
2015,9,ULTRASONOGRAFIAS DIAGNOSTICAS DE TEJIDOS BLANDOS DE PARED ABDOMINAL Y ,Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,10,BIOPSIA DE HUESO ( NO INCLUYE KIT CON AGUJA JAMSHIDI NI INMUNOHISTOQU?,Otros servicios de im†genes,1,0,1,0,1,0,0,0,1,0
2015,10,BIOPSIA POR TOMOGRAFIA ,Tomograf°a,6,6,0,0,5,0,0,1,4,2
2015,10,BIOPSIA SONODIRIGIDA DE MAMAS,Sonograf°a,23,20,3,0,23,0,0,0,0,23
2015,10,BIOPSIA SONODIRIGIDA DE PROSTATA,Sonograf°a,23,15,4,0,21,0,0,2,22,1
2015,10,BIOPSIA SONODIRIGIDA DE TIROIDES,Sonograf°a,34,15,7,0,30,0,0,4,0,34
2015,10,BIOPSIA SONODIRIGIDA PARTES BLANDAS (CON TRUCUT),Sonograf°a,2,1,1,0,2,0,0,0,1,1
2015,10,BIOPSIA TOMODIRIGIDA HEPATICA,Sonograf°a,3,3,0,0,3,0,0,0,2,1
2015,10,BIOPSIA-ASPIRADO MEDULA ?SEA,Otros servicios de im†genes,3,3,0,0,3,0,0,0,0,3
2015,10,CITOSCOPIA ,Cistoscop°a,4,4,0,0,4,0,0,0,2,2
2015,10,COLPOSCOPIA CON BIOPSIA,Colposcop°a,5,5,0,0,4,0,0,1,0,5
2015,10,COMPRESION FOCAL UNILATERAL,Otros servicios de im†genes,3,1,1,0,3,0,0,0,0,3
2015,10,ESTUDIO DE BIOPSIA DE APENDICE,Otros servicios de im†genes,1,0,0,0,0,0,0,1,0,1
2015,10,MAMOGRAFIA BILATERAL,Mamograf°a,269,241,20,0,247,2,0,20,0,269
2015,10,MARCAJE 12 PLACAS,Mamograf°a,2,1,0,0,2,0,0,0,0,2
2015,10,RX-TOBILLO 2 POSICIONES (AP Y LATERAL),Radiograf°a,1,0,1,0,1,0,0,0,0,1
2015,10,RX-TORAX 2 POSICIONES (PA Y 1 OBLICUA / PA Y LATERAL),Radiograf°a,12,6,5,0,7,0,1,4,0,12
2015,10,RX-TORAX AP,Radiograf°a,7,5,2,0,6,0,0,1,2,5
2015,10,RX-TORAX PA,Radiograf°a,164,139,16,0,147,3,1,13,36,128
2015,10,SONOGRAFIA ABDOMINAL,Sonograf°a,133,117,12,0,115,1,2,15,26,107
2015,10,SONOGRAFIA DE CUELLO,Sonograf°a,6,5,1,0,6,0,0,0,3,3
2015,10,SONOGRAFIA DE MAMAS,Sonomamograf°a,328,278,36,0,296,1,2,29,0,328
2015,10,SONOGRAFIA DE TIROIDES,Sonograf°a,78,64,10,0,75,0,1,2,2,76
2015,10,SONOGRAFIA ESCROTAL (TESTICULO),Sonograf°a,5,3,1,0,3,0,0,2,5,0
2015,10,SONOGRAFIA PELVICA,Sonograf°a,18,17,0,0,15,0,0,3,1,17
2015,10,SONOGRAFIA PROSTATICA,Sonograf°a,13,13,0,0,12,0,0,1,10,3
2015,10,SONOGRAFIA TRANSVAGINAL,Sonograf°a,59,48,11,0,56,0,0,3,0,59
2015,10,TOMOGRAFIA ABDOMEN,Tomograf°a,62,54,4,0,55,1,1,5,18,44
2015,10,TOMOGRAFIA ABDOMEN Y PELVIS,Tomograf°a,8,8,0,0,7,0,0,1,3,5
2015,10,TOMOGRAFIA COLUMNA CERVICAL,Tomograf°a,1,1,0,0,1,0,0,0,1,0
2015,10,TOMOGRAFIA COLUMNA LUMBAR,Tomograf°a,6,6,0,0,6,0,0,0,0,6
2015,10,TOMOGRAFIA CRANEO,Tomograf°a,41,38,2,0,35,0,0,6,14,27
2015,10,TOMOGRAFIA CUELLO (LARINGE O PARTES BLANDAS),Tomograf°a,18,15,2,0,17,0,1,0,7,11
2015,10,TOMOGRAFIA EXTREMIDADES INFERIORES,Tomograf°a,2,2,0,0,1,0,0,1,1,1
2015,10,TOMOGRAFIA PELVIS,Tomograf°a,5,3,2,0,4,0,0,1,1,4
2015,10,TOMOGRAFIA SENOS PARA NASALES,Tomograf°a,4,4,0,0,4,0,0,0,0,4
2015,10,TOMOGRAFIA TORAX,Tomograf°a,41,37,4,0,36,0,1,4,10,31
2015,10,TOMOGRAFIA TORAX Y ABDOMEN,Tomograf°a,2,1,1,0,2,0,0,0,2,0
2015,10,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES INFERIORES CON ,Sonograf°a,3,3,0,0,2,0,0,1,1,2
2015,10,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES SUPERIORES CON ,Sonograf°a,5,5,0,0,4,0,0,1,1,4
2015,11,BIOPSIA POR TOMOGRAFIA ,Tomograf°a,4,1,0,0,3,1,0,0,2,2
2015,11,BIOPSIA SONODIRIGIDA DE CUELLO (GANGLIOS Y TIROIDES Y MASAS),Sonograf°a,3,2,0,0,3,0,0,0,1,2
2015,11,BIOPSIA SONODIRIGIDA DE MAMAS,Sonograf°a,15,11,2,0,15,0,0,0,0,15
2015,11,BIOPSIA SONODIRIGIDA DE MAMAS CON TRUCUT + AGUJA,Sonograf°a,1,1,0,0,0,0,0,1,0,1
2015,11,BIOPSIA SONODIRIGIDA DE PROSTATA,Sonograf°a,17,13,2,0,17,0,0,0,15,2
2015,11,BIOPSIA SONODIRIGIDA DE TIROIDES,Sonograf°a,16,12,2,0,15,0,0,1,1,15
2015,11,BIOPSIA TOMODIRIGIDA HEPATICA,Sonograf°a,1,1,0,0,1,0,0,0,1,0
2015,11,BIOPSIA-ASPIRADO MEDULA ?SEA,Otros servicios de im†genes,1,1,0,0,1,0,0,0,1,0
2015,11,CITOSCOPIA ,Cistoscop°a,2,2,0,0,2,0,0,0,2,0
2015,11,COLPOSCOPIA CON BIOPSIA,Colposcop°a,3,2,0,0,3,0,0,0,0,3
2015,11,COMPRESION FOCAL UNILATERAL,Otros servicios de im†genes,6,6,0,0,6,0,0,0,0,6
2015,11,ESTUDIO DE CITOLOGIA DE TIROIDES,Otros servicios de im†genes,1,1,0,0,1,0,0,0,0,1
2015,11,MAMOGRAFIA BILATERAL,Mamograf°a,274,246,21,0,266,1,1,6,0,274
2015,11,RX-ABDOMEN SIMPLE 2 POSICIONES,Radiograf°a,1,1,0,0,1,0,0,0,0,1
2015,11,RX-TORAX 2 POSICIONES (PA Y 1 OBLICUA / PA Y LATERAL),Radiograf°a,8,7,1,0,8,0,0,0,1,7
2015,11,RX-TORAX AP,Radiograf°a,3,3,0,0,3,0,0,0,0,3
2015,11,RX-TORAX PA,Radiograf°a,145,135,7,0,133,0,1,11,25,120
2015,11,SONOGRAFIA ABDOMINAL,Sonograf°a,116,112,4,0,108,0,1,7,33,83
2015,11,SONOGRAFIA DE CUELLO,Sonograf°a,2,2,0,0,2,0,0,0,1,1
2015,11,SONOGRAFIA DE MAMAS,Sonomamograf°a,343,292,30,0,327,3,0,13,3,340
2015,11,SONOGRAFIA DE TIROIDES,Sonograf°a,61,55,5,0,60,0,0,1,4,57
2015,11,SONOGRAFIA ESCROTAL (TESTICULO),Sonograf°a,1,1,0,0,1,0,0,0,1,0
2015,11,SONOGRAFIA PELVICA,Sonograf°a,19,17,2,0,19,0,0,0,5,14
2015,11,SONOGRAFIA PROSTATICA,Sonograf°a,9,9,0,0,9,0,0,0,9,0
2015,11,SONOGRAFIA TRANSVAGINAL,Sonograf°a,92,81,9,0,88,0,0,4,0,92
2015,11,TOMA DE MUESTRA PAPANICOLAOU,Cistoscop°a,4,3,1,0,4,0,0,0,0,4
2015,11,TOMOGRAFIA ABDOMEN,Tomograf°a,77,72,4,0,70,0,1,6,23,54
2015,11,TOMOGRAFIA ABDOMEN Y PELVIS,Tomograf°a,1,1,0,0,1,0,0,0,1,0
2015,11,TOMOGRAFIA COLUMNA CERVICAL,Tomograf°a,3,3,0,0,3,0,0,0,1,2
2015,11,TOMOGRAFIA COLUMNA DORSAL,Tomograf°a,1,0,0,0,1,0,0,0,1,0
2015,11,TOMOGRAFIA COLUMNA LUMBAR,Tomograf°a,7,7,0,0,7,0,0,0,3,4
2015,11,TOMOGRAFIA CRANEO,Tomograf°a,26,26,0,0,26,0,0,0,7,19
2015,11,TOMOGRAFIA CUELLO (LARINGE O PARTES BLANDAS),Tomograf°a,13,12,1,0,13,0,0,0,11,2
2015,11,TOMOGRAFIA EXTREMIDADES INFERIORES,Tomograf°a,1,1,0,0,1,0,0,0,1,0
2015,11,TOMOGRAFIA PELVIS,Tomograf°a,8,7,1,0,7,0,0,1,1,7
2015,11,TOMOGRAFIA SENOS PARA NASALES,Tomograf°a,1,1,0,0,0,0,0,1,0,1
2015,11,TOMOGRAFIA TORAX,Tomograf°a,29,25,4,0,27,0,1,1,8,21
2015,11,ULTRASONOGRAF?A DE PROSTATA TRANSRECTAL,Sonograf°a,1,1,0,0,1,0,0,0,1,0
2015,11,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES INFERIORES CON ,Sonograf°a,2,2,0,0,2,0,0,0,0,2
2015,11,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES SUPERIORES CON ,Sonograf°a,4,4,0,0,4,0,0,0,1,3
2015,12,BIOPSIA POR TOMOGRAFIA ,Tomograf°a,5,3,2,0,5,0,0,0,0,5
2015,12,BIOPSIA PULMON DIRIGIDA POR SONOGRAFIA,Sonograf°a,1,0,1,0,1,0,0,0,1,0
2015,12,BIOPSIA SONODIRIGIDA DE CUELLO (GANGLIOS Y TIROIDES Y MASAS),Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,12,BIOPSIA SONODIRIGIDA DE MAMAS,Sonograf°a,3,3,0,0,3,0,0,0,0,3
2015,12,BIOPSIA SONODIRIGIDA DE PROSTATA,Sonograf°a,6,6,0,0,6,0,0,0,6,0
2015,12,BIOPSIA SONODIRIGIDA DE TIROIDES,Sonograf°a,10,9,1,0,10,0,0,0,1,9
2015,12,BIOPSIA SONODIRIGIDA PARTES BLANDAS (CON TRUCUT),Sonograf°a,2,2,0,0,2,0,0,0,0,2
2015,12,BIOPSIA TOMODIRIGIDA HEPATICA,Sonograf°a,1,0,1,0,1,0,0,0,0,1
2015,12,CITOSCOPIA ,Cistoscop°a,7,6,1,0,7,0,0,0,5,2
2015,12,COLPOSCOPIA CON BIOPSIA,Colposcop°a,4,4,0,0,4,0,0,0,0,4
2015,12,COMPRESION FOCAL UNILATERAL,Otros servicios de im†genes,1,1,0,0,1,0,0,0,0,1
2015,12,MAMOGRAFIA BILATERAL,Mamograf°a,175,155,16,0,174,0,0,1,3,172
2015,12,MARCAJE 6 PLACAS,Mamograf°a,1,0,0,0,1,0,0,0,0,1
2015,12,RX-ABDOMEN SIMPLE AP,Radiograf°a,1,1,0,0,1,0,0,0,0,1
2015,12,RX-TORAX 2 POSICIONES (PA Y 1 OBLICUA / PA Y LATERAL),Radiograf°a,5,5,0,0,5,0,0,0,1,4
2015,12,RX-TORAX AP,Radiograf°a,2,2,0,0,2,0,0,0,0,2
2015,12,RX-TORAX PA,Radiograf°a,130,112,14,0,124,1,1,4,19,111
2015,12,SONOGRAFIA ABDOMINAL,Sonograf°a,100,92,6,0,95,1,0,4,20,80
2015,12,SONOGRAFIA DE CUELLO,Sonograf°a,2,1,0,0,2,0,0,0,1,1
